"prize"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"RR48373-transposable-element"	2.35110759934676	1e-200	2.35110759934676	0.591	0.214	0
"FBti0020120"	1.93417041683669	1e-200	1.93417041683669	0.495	0.169	2.06845083501778e-302
"FBti0063565"	1.02507328162058	1e-200	1.02507328162058	0.18	0.01	3.65669673286139e-218
"lncRNA:noe"	0.434800351982366	3.25459056181531e-177	0.434800351982366	0.991	0.95	5.23110341000574e-173
"FBti0063007"	1.29971459470214	3.14898787254551e-171	1.29971459470214	0.278	0.076	5.06136820754239e-167
"Pka-R2"	0.702473915396039	1.2053079818542e-150	0.702473915396039	0.799	0.617	1.93729151923425e-146
"FBti0019150"	1.02487197621656	1.59336495602896e-145	1.02487197621656	0.198	0.043	2.56101549382534e-141
"Ank2"	0.538665661079905	1.47470460790317e-144	0.538665661079905	0.863	0.72	2.37029271628277e-140
"FBti0019000"	1.02702840482224	6.7372144907455e-132	1.02702840482224	0.227	0.063	1.08287248509752e-127
"mub"	0.53930525054951	2.66435571969073e-124	0.53930525054951	0.863	0.726	4.28241894825892e-120
"Fas1"	0.61164046516527	1.06513224651514e-119	0.61164046516527	0.7	0.508	1.71198705982378e-115
"Appl"	0.547222357773633	4.12214482029196e-118	0.547222357773633	0.842	0.706	6.62552336965527e-114
"unc-13"	0.392560622326337	1.67636277370345e-116	0.392560622326337	0.893	0.777	2.69441788617356e-112
"lncRNA:Hsromega"	0.433748021769044	1.27165039060828e-115	0.433748021769044	0.906	0.777	2.04392367282469e-111
"Atpalpha"	0.415804714221983	1.78576902599521e-113	0.415804714221983	0.917	0.806	2.8702665554821e-109
"CG31191"	0.776273618871613	1.08428427670438e-106	0.776273618871613	0.436	0.262	1.74277011794695e-102
"Pka-C1"	0.485866766288987	1.07490938264828e-104	0.485866766288987	0.826	0.673	1.72770185073059e-100
"mt:ATPase8"	1.0283968407625	1.13775991239085e-91	1.0283968407625	0.179	0.053	1.82872150718582e-87
"5-HT1B"	0.705137917826727	5.58956140032925e-91	0.705137917826727	0.285	0.138	8.98410203874921e-87
"metro"	0.700240235695606	2.86895015680992e-87	0.700240235695606	0.338	0.182	4.61126358704058e-83
"RR50423-transposable-element"	0.783366644182614	3.1767658756011e-87	0.783366644182614	0.118	0.022	5.10601579185366e-83
"Ppcs"	0.60244860833448	2.61623235642902e-86	0.60244860833448	0.623	0.456	4.20507026648836e-82
"14-3-3zeta"	0.304231524988871	9.67409748626589e-83	0.304231524988871	0.889	0.767	1.55491768896752e-78
"Rgk1"	0.457036770052974	1.36209427034222e-81	0.457036770052974	0.737	0.57	2.18929412072105e-77
"brp"	0.420373820435992	1.30662449501297e-79	0.420373820435992	0.799	0.669	2.10013755083435e-75
"Hsp70Ab"	0.648060860624168	3.08378389398208e-79	0.648060860624168	0.617	0.453	4.95656585279739e-75
"jdp"	0.258928243910426	4.30029176448104e-79	0.258928243910426	0.78	0.616	6.91185895305038e-75
"CG6154"	0.692497893891342	9.450913956323e-79	0.692497893891342	0.302	0.157	1.5190454001998e-74
"IA-2"	0.419255948750289	8.76106182439203e-74	0.419255948750289	0.794	0.652	1.40816546703453e-69
"cpx"	0.307678873055631	1.048366145335e-72	0.307678873055631	0.883	0.762	1.68503890539694e-68
"fipi"	0.603794040976156	6.32755590282429e-71	0.603794040976156	0.311	0.175	1.01702806026095e-66
"lncRNA:CR34335"	0.275946136456845	2.72013021992027e-69	0.275946136456845	0.495	0.615	4.37206530247786e-65
"GlcAT-P"	0.548768450834989	1.61052824830235e-68	0.548768450834989	0.479	0.317	2.58860205349636e-64
"hzg"	0.589014334608406	2.6851533315209e-66	0.589014334608406	0.674	0.534	4.31584694975354e-62
"jim"	0.360121799957732	3.52454788479473e-66	0.360121799957732	0.873	0.756	5.66500581523056e-62
"Gfrl"	0.425355935180677	6.08948524929572e-66	0.425355935180677	0.726	0.585	9.78762964119301e-62
"dnc"	0.371243512167235	3.90188667273557e-65	0.371243512167235	0.809	0.682	6.27150244908788e-61
"Tomosyn"	0.385165138594927	4.08351154809183e-65	0.385165138594927	0.757	0.618	6.563428111248e-61
"mei-P26"	0.328660855711861	2.69801108572786e-64	0.328660855711861	0.852	0.739	4.33651321809039e-60
"CG32700"	0.410663543916617	3.00146514194378e-64	0.410663543916617	0.711	0.559	4.82425492264623e-60
"sNPF"	0.501770034029269	4.92765696938451e-64	0.501770034029269	0.617	0.456	7.92022304689172e-60
"ctp"	0.309355529138821	1.30223496098747e-63	0.309355529138821	0.853	0.73	2.09308225279516e-59
"pros"	0.429847422672877	1.47632485714244e-63	0.429847422672877	0.761	0.613	2.37289694288504e-59
"Gdap2"	0.455518473497432	4.22376876865953e-63	0.455518473497432	0.672	0.528	6.78886354186647e-59
"wry"	0.488372077680557	7.5244843215838e-63	0.488372077680557	0.612	0.474	1.20941036500816e-58
"spen"	0.304487220316541	1.65748111418645e-62	0.304487220316541	0.863	0.756	2.66406939483188e-58
"CG31140"	0.400463716446157	1.86996488369103e-62	0.400463716446157	0.724	0.588	3.00559455755659e-58
"rut"	0.280000984711232	9.99429514187891e-62	0.280000984711232	0.753	0.604	1.6063830581542e-57
"ps"	0.379972735416271	5.45130497566082e-61	0.379972735416271	0.817	0.716	8.76188248737964e-57
"Gbeta13F"	0.339235265763912	1.24273621671006e-60	0.339235265763912	0.802	0.671	1.99744992111809e-56
"Dop1R1"	0.431989008060625	4.71546821923677e-60	0.431989008060625	0.655	0.507	7.57917206877925e-56
"RhoGAP100F"	0.433936785063096	2.60720245074771e-59	0.433936785063096	0.638	0.499	4.1905564990868e-55
"Hrb27C"	0.299065443383101	3.90507290538574e-59	0.299065443383101	0.825	0.698	6.2766236808265e-55
"Ktl"	0.571307746405891	4.34785720802797e-59	0.571307746405891	0.429	0.306	6.98831089046335e-55
"Pkc98E"	0.432621017196797	9.74245184604976e-59	0.432621017196797	0.664	0.528	1.56590428521558e-54
"kis"	0.347955913749791	1.12221925969116e-58	0.347955913749791	0.712	0.572	1.80374301610159e-54
"Mef2"	0.448794627535403	2.18239862184818e-58	0.448794627535403	0.65	0.505	3.50776930489658e-54
"Slob"	0.444787984678347	6.66513535206811e-57	0.444787984678347	0.625	0.483	1.07128720513791e-52
"Rbfox1"	0.298301754020741	9.38697848346109e-56	0.298301754020741	0.817	0.7	1.5087690516467e-51
"chrb"	0.465557900163647	9.87031507658503e-56	0.465557900163647	0.687	0.563	1.58645574225951e-51
"CG45050"	0.435061345283711	1.31874914774936e-55	0.435061345283711	0.655	0.53	2.11962550517755e-51
"CG42540"	0.45815754091591	2.22148539157904e-55	0.45815754091591	0.599	0.457	3.57059346988499e-51
"Dif"	0.531976926017482	3.11474271775813e-55	0.531976926017482	0.387	0.257	5.00632597025264e-51
"nSyb"	0.306696962989515	1.21918961263337e-54	0.306696962989515	0.846	0.736	1.95960346438561e-50
"AGO1"	0.346071737377981	1.88144756910059e-54	0.346071737377981	0.75	0.629	3.02405067781538e-50
"CG32204"	0.438697732038249	3.02153949098145e-54	0.438697732038249	0.58	0.433	4.85652042385448e-50
"CG4467"	0.397070803152625	3.03599357387478e-54	0.397070803152625	0.687	0.55	4.87975247128894e-50
"nrv3"	0.255820091941522	3.05647576870245e-54	0.255820091941522	0.871	0.76	4.91267350303544e-50
"Plc21C"	0.482773052098789	5.9452824104921e-54	0.482773052098789	0.682	0.557	9.55585241838395e-50
"Mical"	0.534862558055319	6.97418246127378e-54	0.534862558055319	0.411	0.282	1.12096034700053e-49
"CaMKII"	0.322863429345636	7.96701367772275e-54	0.322863429345636	0.761	0.626	1.28053810842038e-49
"CG42260"	0.433886997057444	9.39316766445774e-54	0.433886997057444	0.598	0.466	1.50976383870829e-49
"VAChT"	0.416183324473254	3.24780979894606e-53	0.416183324473254	0.621	0.481	5.22020468984601e-49
"CG17816"	0.316566918192447	5.94385020253062e-53	0.316566918192447	0.77	0.638	9.55355043052746e-49
"bun"	0.336648861854479	6.47095682463409e-52	0.336648861854479	0.793	0.675	1.04007689042344e-47
"csw"	0.397949342147755	3.65051151125941e-51	0.397949342147755	0.569	0.43	5.86746715204725e-47
"para"	0.251964154262482	4.55144805109117e-51	0.251964154262482	0.839	0.725	7.31554245251883e-47
"mspo"	0.398176127539803	3.11012614535212e-50	0.398176127539803	0.655	0.53	4.99890575342446e-46
"FBti0102119"	0.459676510831375	2.13516547264331e-49	0.459676510831375	0.132	0.052	3.43185146417959e-45
"mtt"	0.557316839959367	3.94128751322838e-49	0.557316839959367	0.323	0.202	6.33483142001198e-45
"Rim"	0.297066086357993	5.63287719571872e-49	0.297066086357993	0.778	0.656	9.0537235166787e-45
"lncRNA:alphagamma-element:CR32865"	0.394541691709244	3.15668509424453e-48	0.394541691709244	0.528	0.387	5.07373995197923e-44
