"prize"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Gs2"	1.19086023633487	1e-200	1.19086023633487	0.139	0.032	0
"mt:ATPase8"	1.39378373400628	1e-200	1.39378373400628	0.215	0.051	0
"mt:CoI"	0.969679452890836	1e-200	0.969679452890836	0.37	0.248	0
"mt:ND1"	1.22137474981872	1e-200	1.22137474981872	0.468	0.241	0
"mt:ND3"	0.735820743667506	1e-200	0.735820743667506	0.3	0.158	0
"mt:ND5"	1.5153737780744	1e-200	1.5153737780744	0.462	0.183	0
"lncRNA:noe"	0.400527762366654	1e-200	0.400527762366654	0.999	0.992	0
"jim"	0.382391558649043	1e-200	0.382391558649043	0.944	0.926	0
"Arc1"	0.92106713253572	1e-200	0.92106713253572	0.161	0.046	0
"lncRNA:CR31451"	0.760508364319351	1e-200	0.760508364319351	0.832	0.813	0
"Msp300"	0.448478859542657	1e-200	0.448478859542657	0.776	0.664	0
"pre-lola-G"	0.667513709306107	1e-200	0.667513709306107	0.112	0.03	0
"FBti0019000"	1.53997684334901	1e-200	1.53997684334901	0.264	0.072	0
"FBti0019150"	1.59504337539301	1e-200	1.59504337539301	0.237	0.055	0
"FBti0020120"	2.64144887022141	1e-200	2.64144887022141	0.542	0.189	0
"FBti0063007"	1.7441024339112	1e-200	1.7441024339112	0.327	0.092	0
"RR48373-transposable-element"	3.05506549852237	1e-200	3.05506549852237	0.655	0.257	0
"RR48383-transposable-element"	0.812876668525839	1e-200	0.812876668525839	0.102	0.028	0
"RR50423-transposable-element"	1.0273043619884	1e-200	1.0273043619884	0.142	0.039	0
"Ank2"	0.322177229857408	1e-200	0.322177229857408	0.816	0.76	6.47107716668295e-277
"mt:ND2"	0.576359865386743	1e-200	0.576359865386743	0.266	0.157	3.3292875609289e-270
"fmt"	0.563569933551277	1e-200	0.563569933551277	0.322	0.238	3.9630017190852e-259
"lncRNA:CR34335"	0.588407745961919	1e-200	0.588407745961919	0.48	0.431	1.37858868096776e-239
"FBti0019148"	0.637134790812959	1e-200	0.637134790812959	0.105	0.042	3.72671861869955e-237
"ps"	0.255460677070958	1e-200	0.255460677070958	0.908	0.897	1.23239751544316e-234
"lncRNA:alphagamma-element:CR32865"	0.579458169942324	1e-200	0.579458169942324	0.302	0.231	3.54664550415804e-214
"Rbp6"	0.298604348132992	1e-200	0.298604348132992	0.906	0.874	2.1431949917328e-211
"Hsp70Ab"	0.418698026652017	1.31965204496503e-175	0.418698026652017	0.42	0.386	2.1210767318723e-171
"5-HT1B"	0.470262995924414	2.54513807310723e-173	0.470262995924414	0.117	0.065	4.09080042490525e-169
"nrv2"	0.589283531849189	9.60864885861652e-168	0.589283531849189	0.121	0.064	1.54439813104543e-163
"Hipk"	0.319575746807531	2.98848258789519e-159	0.319575746807531	0.52	0.476	4.80338806352393e-155
"CG45050"	0.291232134877949	7.82523494806748e-158	0.291232134877949	0.598	0.558	1.25775001320289e-153
"kis"	0.284919547688701	3.61268592442794e-153	0.284919547688701	0.63	0.577	5.80667008633302e-149
"unc-104"	0.263252518239617	6.57062997446894e-151	0.263252518239617	0.647	0.614	1.05609735579639e-146
"mt:ND4"	0.529488353219646	3.24186696383641e-150	0.529488353219646	0.243	0.165	5.21065277097427e-146
"sty"	0.411636906854894	1.51917497215124e-147	0.411636906854894	0.323	0.26	2.44176993273869e-143
"csw"	0.292095899825258	7.80840107529988e-147	0.292095899825258	0.553	0.503	1.25504430483295e-142
"VGlut"	0.63817554769966	1.24066363508544e-139	0.63817554769966	0.245	0.199	1.99411866067282e-135
"CG4467"	0.258498665675644	2.25867146847346e-139	0.258498665675644	0.649	0.608	3.63036265127739e-135
"mahe"	0.337818788568358	3.06983075266033e-134	0.337818788568358	0.414	0.361	4.93413896875095e-130
"chrb"	0.295342605587081	1.97319729508663e-127	0.295342605587081	0.634	0.602	3.17152001239275e-123
"Rbp9"	0.313891595027129	4.13975139663622e-125	0.313891595027129	0.449	0.401	6.6538224198134e-121
"GlcAT-P"	0.385185278444168	2.0535291116642e-115	0.385185278444168	0.248	0.195	3.30063734117787e-111
"mt:Cyt-b"	0.594149291163002	2.10916623870813e-115	0.594149291163002	0.282	0.223	3.39006289547557e-111
"Pal2"	0.267371802721067	3.20664033677119e-115	0.267371802721067	0.447	0.414	5.15403301329234e-111
"fz2"	0.329720533846785	8.35423434374008e-111	0.329720533846785	0.364	0.323	1.34277608606934e-106
"hbs"	0.387443326530165	7.4123100847769e-107	0.387443326530165	0.102	0.063	1.19138059992619e-102
"Amph"	0.368764417824583	1.52919448941855e-106	0.368764417824583	0.165	0.131	2.45787430284243e-102
"heph"	0.288451159114179	1.5973485968568e-105	0.288451159114179	0.591	0.548	2.56741839972793e-101
"CG5758"	0.404608377298704	2.5035542743724e-105	0.404608377298704	0.197	0.153	4.02396278519877e-101
"shot"	0.293537764251368	5.23357389300237e-104	0.293537764251368	0.398	0.359	8.41192331822271e-100
"CG30428"	0.332054287764064	1.85889071054158e-103	0.332054287764064	0.108	0.066	2.98779503905348e-99
"Ktl"	0.338750702872757	1.46712305994575e-101	0.338750702872757	0.301	0.257	2.3581068942508e-97
"Dab"	0.319467171565378	1.70267348018119e-101	0.319467171565378	0.279	0.237	2.73670708469523e-97
"PAN3"	0.281947269023801	4.92792156280123e-101	0.281947269023801	0.415	0.373	7.92064832789042e-97
"pros"	0.395932011444573	1.77605631035797e-98	0.395932011444573	0.399	0.323	2.85465530763837e-94
"larp"	0.277201228740172	2.09710522270784e-94	0.277201228740172	0.37	0.336	3.37067722445832e-90
"Su(z)2"	0.330967516100725	1.48226799088896e-85	0.330967516100725	0.221	0.181	2.38244934175583e-81
"Ppcs"	0.318027181644179	6.13125899157649e-85	0.318027181644179	0.249	0.212	9.85477257716089e-81
"CG8929"	0.297336485248989	1.40515187471725e-83	0.297336485248989	0.225	0.193	2.25850060823303e-79
"mt:ATPase6"	0.492509975340579	2.50095429246152e-83	0.492509975340579	0.296	0.248	4.0197838342734e-79
"Dg"	0.281820066766412	3.21461421535525e-79	0.281820066766412	0.195	0.168	5.16684942834049e-75
"fipi"	0.316164869014396	7.13122242833845e-79	0.316164869014396	0.118	0.086	1.14620138090684e-74
"CG42784"	0.301061938044745	3.9061758556172e-77	0.301061938044745	0.202	0.16	6.27839645273352e-73
"lncRNA:CR46004"	0.333372765238332	4.74073450205996e-77	0.333372765238332	0.135	0.096	7.61978256516097e-73
"CG15236"	0.31630736259608	7.26083997929646e-72	0.31630736259608	0.309	0.274	1.16703480987232e-67
"Epac"	0.310537442313592	3.56010928340428e-68	0.310537442313592	0.292	0.263	5.7221636512157e-64
"Rilpl"	0.262985755670751	5.78855988036254e-67	0.262985755670751	0.23	0.202	9.30395229570672e-63
"dpr21"	0.257912893055898	4.36051907419436e-65	0.257912893055898	0.136	0.108	7.00866230795259e-61
"SKIP"	0.257174084003544	2.02559037494044e-64	0.257174084003544	0.36	0.324	3.25573140964176e-60
"FBti0019603"	0.272315979187163	2.07491811035608e-64	0.272315979187163	0.11	0.077	3.33501587877533e-60
"CG13293"	0.254354491634826	1.941284315827e-63	0.254354491634826	0.258	0.225	3.12022628082874e-59
"CG32700"	0.273502428877634	2.60172930279827e-60	0.273502428877634	0.353	0.322	4.18175950838767e-56
"NetB"	0.283743696204085	9.29088764728284e-59	0.283743696204085	0.231	0.201	1.49332437154777e-54
"ed"	0.262297767421738	1.2882541506613e-58	0.262297767421738	0.255	0.228	2.0706108963579e-54
"slim"	0.264232313435567	4.17376450561491e-57	0.264232313435567	0.167	0.139	6.70849168987484e-53
"DnaJ-1"	0.308298143642	4.03207354956997e-54	0.308298143642	0.179	0.156	6.48075181622381e-50
"Pde11"	0.293245854154608	5.68030542884738e-52	0.293245854154608	0.116	0.091	9.1299549157864e-48
"kay"	0.262688138753162	7.92657625196347e-48	0.262688138753162	0.144	0.118	1.27403860097809e-43
"Sox21b"	0.255038927634793	2.42506191262754e-35	0.255038927634793	0.127	0.115	3.89780201216624e-31
"zld"	0.275086840769989	5.87082166002145e-35	0.275086840769989	0.164	0.142	9.43617165415248e-31
"nAChRbeta1"	0.41327387493421	1e-200	-0.41327387493421	0.667	0.778	0
"RpLP0"	0.508624886019759	1e-200	-0.508624886019759	0.376	0.527	0
"eIF4A"	0.479160617029929	1e-200	-0.479160617029929	0.484	0.618	0
"RpS3"	0.475178857773158	1e-200	-0.475178857773158	0.404	0.541	0
"RpLP2"	0.586922679623511	1e-200	-0.586922679623511	0.225	0.354	0
"RpL4"	0.513940591077142	1e-200	-0.513940591077142	0.357	0.49	0
"sta"	0.692058049527648	1e-200	-0.692058049527648	0.393	0.574	0
"RpS27A"	0.583819086224465	1e-200	-0.583819086224465	0.346	0.498	0
"Yp1"	0.999865813402585	1e-200	-0.999865813402585	0.06	0.162	0
"Yp3"	1.59320066421724	1e-200	-1.59320066421724	0.084	0.242	0
"RpS2"	0.58763256481855	1e-200	-0.58763256481855	0.435	0.59	0
"Yp2"	1.20097486253564	1e-200	-1.20097486253564	0.08	0.205	0
"RpL7"	0.618994271149147	1e-200	-0.618994271149147	0.412	0.591	0
"RpL23"	0.544434772816727	1e-200	-0.544434772816727	0.422	0.585	0
"RpS9"	0.452738840621053	1e-200	-0.452738840621053	0.363	0.51	0
"RpS18"	0.577542919432512	1e-200	-0.577542919432512	0.415	0.591	0
"RpS4"	0.74612463022718	1e-200	-0.74612463022718	0.34	0.535	0
"His4r"	0.588591056133148	1e-200	-0.588591056133148	0.454	0.622	0
"RpL9"	0.475607691705797	1e-200	-0.475607691705797	0.37	0.515	0
"ATPsynB"	0.527575466997264	1e-200	-0.527575466997264	0.288	0.419	0
"lncRNA:roX1"	0.53390780325732	1e-200	-0.53390780325732	0.562	0.612	0
"RpL10"	0.480349947317642	1e-200	-0.480349947317642	0.404	0.546	0
"RpL17"	0.544778557186562	1e-200	-0.544778557186562	0.29	0.43	0
"RpL37a"	0.503749182913891	1e-200	-0.503749182913891	0.487	0.627	0
"COX4"	0.572970629490396	1e-200	-0.572970629490396	0.354	0.509	0
"RpS11"	0.57660403806813	1e-200	-0.57660403806813	0.389	0.554	0
"CG4716"	0.942418887710082	1e-200	-0.942418887710082	0.021	0.103	0
"RpS15"	0.555214846489279	1e-200	-0.555214846489279	0.366	0.541	0
"RpL28"	0.441199358735489	1e-200	-0.441199358735489	0.436	0.578	0
"RpL26"	0.473483549719592	1e-200	-0.473483549719592	0.427	0.573	0
"RpL13A"	0.568370099936968	1e-200	-0.568370099936968	0.295	0.443	0
"RpS8"	0.623589062610476	1e-200	-0.623589062610476	0.389	0.564	0
"RpL6"	0.574367987395171	1e-200	-0.574367987395171	0.399	0.556	0
"Uhg5"	0.742242475665177	1e-200	-0.742242475665177	0.12	0.256	0
"UQCR-C2"	0.55994655454393	1e-200	-0.55994655454393	0.272	0.412	0
"RpL8"	0.523609982684616	1e-200	-0.523609982684616	0.467	0.623	0
"uex"	0.996862964614184	1e-200	-0.996862964614184	0.482	0.742	0
"lncRNA:CR44922"	0.638445921129909	1e-200	-0.638445921129909	0.097	0.223	0
"RpS10b"	0.57865129883407	1e-200	-0.57865129883407	0.317	0.479	0
"RpL27A"	0.639500173988524	1e-200	-0.639500173988524	0.369	0.558	0
"RpL19"	0.559913802103227	1e-200	-0.559913802103227	0.335	0.479	0
"TMS1"	0.510869185862971	1e-200	-0.510869185862971	0.188	0.311	7.94111712560636e-319
"RNaseMRP:RNA"	0.629983423737642	1e-200	-0.629983423737642	0.054	0.13	1.28272864929919e-315
"mt:CoII"	0.68492729578124	1e-200	-0.68492729578124	0.108	0.208	3.03563496137129e-314
"Rbp1"	0.52838950787567	1e-200	-0.52838950787567	0.143	0.254	4.32629527469027e-310
"RpL7A"	0.473867953475948	1e-200	-0.473867953475948	0.373	0.509	1.0390089041609e-308
"RpL14"	0.434123116904374	1e-200	-0.434123116904374	0.498	0.63	2.48526675091259e-308
"RpL18"	0.462768082778713	1e-200	-0.462768082778713	0.403	0.54	7.06264933960237e-308
"RpL35A"	0.486874479959179	1e-200	-0.486874479959179	0.31	0.443	1.01291109315186e-305
"RpS27"	0.437450512287028	1e-200	-0.437450512287028	0.44	0.577	7.03391323271627e-302
"ATPsynbeta"	0.432653540664659	1e-200	-0.432653540664659	0.443	0.573	3.73354380601127e-297
"ATPsyngamma"	0.508179154505157	1e-200	-0.508179154505157	0.206	0.326	1.30464487490754e-294
"levy"	0.477046652881894	1e-200	-0.477046652881894	0.37	0.5	5.68198629094212e-294
"RpL10Ab"	0.499717405335138	1e-200	-0.499717405335138	0.257	0.383	2.78928058458404e-292
"RpL34b"	0.445523795993351	1e-200	-0.445523795993351	0.435	0.565	7.82997390063993e-292
"alphaTub84B"	0.46834460898132	1e-200	-0.46834460898132	0.39	0.52	1.27699900625449e-291
"Nacalpha"	0.489675917598297	1e-200	-0.489675917598297	0.227	0.349	1.52016882585533e-288
"ATPsynO"	0.513899948592035	1e-200	-0.513899948592035	0.228	0.347	1.43073698216641e-287
"RpL36A"	0.385674712833186	1e-200	-0.385674712833186	0.395	0.529	4.29324727489214e-282
"ND-39"	0.474966212671659	1e-200	-0.474966212671659	0.221	0.34	1.89173366757025e-277
"COX7A"	0.485806248114205	1e-200	-0.485806248114205	0.304	0.428	4.25893251869618e-276
"RpS21"	0.453923332164794	1e-200	-0.453923332164794	0.366	0.493	8.02104880946684e-276
"RpS6"	0.405889084908175	1e-200	-0.405889084908175	0.492	0.618	1.12259518823332e-272
"RpS7"	0.439242359270549	1e-200	-0.439242359270549	0.397	0.526	4.79004327078653e-272
"RFeSP"	0.476472139981166	1e-200	-0.476472139981166	0.267	0.388	6.26133299733857e-271
"CG7630"	0.440711344324684	1e-200	-0.440711344324684	0.328	0.456	5.20689886983759e-269
"ATPsynG"	0.435039760449202	1e-200	-0.435039760449202	0.342	0.468	7.27428801367438e-262
"Alas"	0.461614991260371	1e-200	-0.461614991260371	0.117	0.212	1.7968974295484e-259
"RpL18A"	0.469465982949151	1e-200	-0.469465982949151	0.35	0.47	4.26982042711074e-258
"CG10077"	0.36750383288952	1e-200	-0.36750383288952	0.683	0.765	9.09182198910062e-258
"RpL21"	0.388646024310644	1e-200	-0.388646024310644	0.477	0.6	2.63109714107555e-255
"CG11267"	0.504057213821789	1e-200	-0.504057213821789	0.141	0.238	4.36819602297591e-253
"RpL13"	0.40752586980526	1e-200	-0.40752586980526	0.397	0.523	9.17202855888743e-252
"RpL23A"	0.410918354858158	1e-200	-0.410918354858158	0.402	0.525	1.70735195021984e-250
"ATPsynF"	0.4554669871804	1e-200	-0.4554669871804	0.397	0.51	1.79934694639378e-242
"eIF3m"	0.467652896598991	1e-200	-0.467652896598991	0.197	0.304	2.44751626670277e-242
"RpL31"	0.336050239729499	1e-200	-0.336050239729499	0.511	0.632	3.5140542503943e-236
"cype"	0.39389126097074	1e-200	-0.39389126097074	0.388	0.51	3.72254332100419e-236
"RpL40"	0.41106603943375	1e-200	-0.41106603943375	0.407	0.525	4.07234184248884e-234
"VhaM9.7-a"	0.376016116320002	1e-200	-0.376016116320002	0.418	0.538	1.03019380214859e-233
"CG18815"	0.429871733254426	1e-200	-0.429871733254426	0.208	0.315	7.01760462486963e-233
"ATPsynCF6"	0.408336238914686	1e-200	-0.408336238914686	0.317	0.434	3.72609003002191e-231
"RpL38"	0.391161093881462	1e-200	-0.391161093881462	0.452	0.57	4.22342069129519e-231
"CG5946"	0.455836021951075	1e-200	-0.455836021951075	0.151	0.247	1.86699094854749e-228
"ND-SGDH"	0.465450671060022	1e-200	-0.465450671060022	0.191	0.292	3.99631662231706e-228
"CG7920"	0.441185781184346	1e-200	-0.441185781184346	0.13	0.221	6.01090725758213e-227
"Ctr9"	0.395094863478553	1e-200	-0.395094863478553	0.057	0.125	1.30571012248975e-225
"RpLP1"	0.342398730697337	1e-200	-0.342398730697337	0.334	0.452	1.43669648987706e-225
"RpL12"	0.383029518885968	1e-200	-0.383029518885968	0.365	0.482	6.69245609499245e-222
"IscU"	0.422332244369827	1e-200	-0.422332244369827	0.458	0.57	6.5520876299142e-221
"RNASEK"	0.382974674357539	1e-200	-0.382974674357539	0.373	0.491	4.93295718440912e-220
"RpL3"	0.433192873411959	1e-200	-0.433192873411959	0.341	0.454	3.26472503404799e-218
